Inference - SOTS_outdoor
save_image: True
data_path: ../dataset/SOTS/outdoor/hazy
gt_path: ../dataset/SOTS/outdoor/clear
model_path: ../pretrained_models/SOTS_outdoor.pt
result_path: ../infer_results/infer_SOTS_outdoor
size_must_mode: 4
device: cuda
Loading model from ../pretrained_models/SOTS_outdoor.pt
> 0127_1 PSNR=26.415, SSIM=0.9741 pre_time:0.018s, forward_time:0.156s, post_time:0.578s, total_time:0.752s
> 0129_1 PSNR=31.848, SSIM=0.9856 pre_time:0.029s, forward_time:1.489s, post_time:0.809s, total_time:2.327s
> 0131_1 PSNR=22.428, SSIM=0.9587 pre_time:0.015s, forward_time:0.245s, post_time:0.451s, total_time:0.712s
> 0132_1 PSNR=24.740, SSIM=0.9716 pre_time:0.016s, forward_time:0.260s, post_time:0.441s, total_time:0.717s
> 0133_1 PSNR=23.567, SSIM=0.9502 pre_time:0.016s, forward_time:0.155s, post_time:0.498s, total_time:0.669s
> 0134_1 PSNR=28.113, SSIM=0.9539 pre_time:0.024s, forward_time:0.160s, post_time:0.466s, total_time:0.649s
> 0135_1 PSNR=29.346, SSIM=0.9612 pre_time:0.018s, forward_time:0.337s, post_time:0.533s, total_time:0.889s
> 0137_1 PSNR=25.090, SSIM=0.9699 pre_time:0.016s, forward_time:0.235s, post_time:0.450s, total_time:0.700s
> 0138_1 PSNR=35.575, SSIM=0.9784 pre_time:0.016s, forward_time:0.173s, post_time:0.655s, total_time:0.844s
> 0139_1 PSNR=30.916, SSIM=0.9780 pre_time:0.020s, forward_time:0.162s, post_time:0.516s, total_time:0.697s
> 0140_1 PSNR=33.591, SSIM=0.9844 pre_time:0.019s, forward_time:0.160s, post_time:0.362s, total_time:0.541s
> 0141_1 PSNR=33.670, SSIM=0.9830 pre_time:0.016s, forward_time:0.352s, post_time:0.571s, total_time:0.940s
> 0142_1 PSNR=34.522, SSIM=0.9870 pre_time:0.015s, forward_time:0.266s, post_time:0.540s, total_time:0.821s
> 0143_1 PSNR=29.328, SSIM=0.9611 pre_time:0.016s, forward_time:0.175s, post_time:0.430s, total_time:0.621s
> 0145_1 PSNR=19.778, SSIM=0.9215 pre_time:0.019s, forward_time:0.157s, post_time:0.413s, total_time:0.588s
> 0146_1 PSNR=23.746, SSIM=0.9440 pre_time:0.019s, forward_time:0.157s, post_time:0.491s, total_time:0.668s
> 0147_1 PSNR=32.603, SSIM=0.9776 pre_time:0.014s, forward_time:0.361s, post_time:0.453s, total_time:0.828s
> 0148_1 PSNR=31.138, SSIM=0.9461 pre_time:0.014s, forward_time:0.163s, post_time:0.551s, total_time:0.729s
> 0149_1 PSNR=35.206, SSIM=0.9848 pre_time:0.014s, forward_time:0.166s, post_time:0.600s, total_time:0.781s
> 0150_1 PSNR=16.350, SSIM=0.9200 pre_time:0.018s, forward_time:0.172s, post_time:0.510s, total_time:0.700s
> 0151_1 PSNR=27.963, SSIM=0.9818 pre_time:0.018s, forward_time:0.157s, post_time:0.492s, total_time:0.667s
