Inference - SOTS_indoor
save_image: True
data_path: ../dataset/SOTS/indoor/hazy
gt_path: ../dataset/SOTS/indoor/clear
model_path: ../pretrained_models/SOTS_indoor.pt
result_path: ../infer_results/infer_SOTS_indoor
size_must_mode: 4
device: cuda
Loading model from ../pretrained_models/SOTS_indoor.pt
> 1415_1 PSNR=34.598, SSIM=0.9928 pre_time:0.025s, forward_time:0.217s, post_time:0.698s, total_time:0.940s
> 1415_10 PSNR=32.111, SSIM=0.9854 pre_time:0.021s, forward_time:0.201s, post_time:0.758s, total_time:0.980s
> 1415_2 PSNR=30.900, SSIM=0.9832 pre_time:0.023s, forward_time:0.298s, post_time:0.851s, total_time:1.172s
> 1415_3 PSNR=34.765, SSIM=0.9923 pre_time:0.023s, forward_time:0.222s, post_time:0.875s, total_time:1.121s
> 1415_4 PSNR=34.660, SSIM=0.9917 pre_time:0.019s, forward_time:0.294s, post_time:0.741s, total_time:1.053s
> 1415_5 PSNR=33.990, SSIM=0.9904 pre_time:0.018s, forward_time:0.444s, post_time:0.816s, total_time:1.278s
> 1415_6 PSNR=33.332, SSIM=0.9895 pre_time:0.027s, forward_time:0.200s, post_time:0.727s, total_time:0.954s
> 1415_7 PSNR=33.059, SSIM=0.9883 pre_time:0.018s, forward_time:0.440s, post_time:0.730s, total_time:1.188s
> 1415_8 PSNR=32.834, SSIM=0.9878 pre_time:0.027s, forward_time:0.199s, post_time:0.722s, total_time:0.947s
> 1415_9 PSNR=31.368, SSIM=0.9856 pre_time:0.030s, forward_time:0.203s, post_time:0.718s, total_time:0.950s
> 1416_1 PSNR=37.728, SSIM=0.9963 pre_time:0.025s, forward_time:0.391s, post_time:0.621s, total_time:1.037s
> 1416_10 PSNR=35.731, SSIM=0.9917 pre_time:0.020s, forward_time:0.253s, post_time:0.640s, total_time:0.913s
> 1416_2 PSNR=35.671, SSIM=0.9911 pre_time:0.026s, forward_time:0.215s, post_time:0.595s, total_time:0.836s
